code,101,102,103,104,105,106,107,108,109,110,111,112
68000010031,4,-3,16,51,22,12,-21,30,15,-54,-2,11
68000010032,-21,-28,-32,107,57,33,93,-12,-17,-153,-28,-26
68000010033,93,83,-18,80,145,52,3,70,98,-63,19,-37
68000010034,-155,-147,-274,-25,-110,-23,-70,-123,-177,-188,-67,-104
68000010035,19,-62,-36,-38,25,11,-53,-22,-78,-76,-37,-11
68000010036,227,94,56,203,102,36,10,-11,-8,-100,-56,-5
68000010037,-19,-16,-5,61,38,-16,18,2,18,-83,18,33
68000010038,-1,-54,63,11,-432,-4,54,8,-72,-19,327,1131
68000010039,-1,-9,-26,-36,18,45,-35,19,-37,-61,-7,13
68000010040,-30,-63,-190,15,-70,-42,19,104,274,-33,157,40
68000010041,5,-162,-35,1,-47,-50,1,-24,-22,-125,-105,6
68000010042,-71,-46,-20,71,42,127,123,-36,-38,-55,-105,-8
68000010043,-7,-106,-48,139,80,80,-13,-55,-124,-65,-85,-8
68000010044,-23,60,-83,67,-29,38,30,-41,-42,-72,-77,2
68000010045,-32,-70,67,42,55,93,136,-46,-50,-9,-19,43
68000010046,52,8,52,274,88,108,47,51,-162,-50,-86,51
68000010047,143,-40,-4,277,204,16,69,8,-106,-112,62,-50
68000010048,269,15,139,411,369,194,83,-26,11,-104,-39,200
68000010049,406,143,233,333,233,185,183,80,65,89,133,146
68000010050,17,100,143,151,352,304,605,479,624,496,514,374
68000010051,75,8,250,337,257,327,194,97,29,143,79,124
68000010052,-135,-64,-37,17,-64,23,92,380,875,1011,1152,944
68000010053,-37,-39,106,-6,12,17,-59,-5,-85,-71,-32,-45
68000010054,95,-70,-31,20,80,9,57,36,-71,-131,70,58
68000010055,53,478,148,139,102,114,141,-76,-79,-121,-34,-3
68000010056,57,51,67,163,125,173,182,49,-37,-31,14,68
68000010057,24,132,253,626,605,301,224,341,227,73,39,207
68000010058,73,59,12,122,141,58,64,27,31,-17,50,-48
68000010059,186,179,128,261,298,390,142,272,125,-146,56,201
68000010060,14,186,66,122,133,152,361,177,56,65,-11,191
68000010061,23,-27,93,208,162,236,64,102,-77,-48,23,194
68000010062,131,61,-14,274,157,198,23,-44,-62,-69,-26,48
68000010063,213,64,16,231,157,6,103,95,60,29,-73,31
68000010064,28,-31,38,127,149,95,51,-5,-24,-38,-3,99
68000010065,39,17,97,148,90,133,28,23,-58,-97,-14,-10
68000010066,77,-10,-85,95,39,21,56,-71,12,-48,-64,22
68000010067,267,30,-10,337,150,206,109,95,60,131,247,384
68000010068,71,102,-34,241,254,139,113,42,55,-76,-48,157
68000010069,43,-39,43,133,94,110,158,23,109,-85,32,94
68000010070,53,78,46,88,78,81,76,49,-7,-49,-91,81
68000010071,62,209,482,441,180,189,349,443,301,104,9,95
68000010072,119,223,134,102,21,186,47,113,-62,-73,-10,47
68000010073,-65,-1,-95,24,52,17,26,10,23,-113,-44,82
68000010074,171,31,64,254,178,155,70,84,-138,-100,-100,106
68000010075,132,64,58,77,183,158,211,133,-63,-24,-11,93
68000010076,5,-143,12,-16,-36,-8,67,289,48,-54,133,198
68000010077,204,292,113,235,161,120,242,55,-21,-128,-25,46
68000010078,49,8,49,263,85,104,104,25,-23,-22,32,51
68000010079,286,94,20,116,80,89,84,-12,256,-40,70,149
68000010080,58,57,15,128,180,168,145,50,178,10,108,168
68000010081,161,82,187,283,223,161,133,156,224,77,28,115
68000010082,78,62,13,130,149,62,68,29,33,-18,21,86
68000020001,-15,43,-47,-6,-97,19,-12,-30,-33,-64,-77,-43
68000020002,-65,50,31,41,15,70,20,3,-106,-4,418,482
68000020003,303,40,115,86,28,-48,-14,-2,-9,-42,-34,27
68000020004,-52,-44,28,-53,9,25,-9,-7,-31,-10,-27,10
68000020005,44,-33,-36,-80,5,15,-23,21,2,44,-33,2
68000020006,32,-11,-76,96,26,82,1,-12,41,-3,5,16
68000020007,-31,34,-57,23,55,41,24,9,-55,-235,-23,20
68000020008,-43,-22,-21,93,56,-10,52,8,-66,-99,-96,75
68000020009,-12,49,32,17,84,50,6,2,-35,-39,-92,-30
68000020010,63,0,36,87,74,79,15,-30,-57,-49,-15,19
68000020011,105,-4,176,134,29,232,18,-60,-32,-24,0,-63
68000020012,104,28,36,148,10,40,37,154,75,-70,-18,36
68000020013,26,14,8,44,28,61,104,-21,-27,-3,-69,59
68000020014,-17,-77,-30,-13,26,5,115,132,99,45,34,43
68000020015,12,33,-62,31,5,96,-10,0,-66,-123,-15,77
68000020016,-107,-26,41,26,-34,98,48,93,-97,21,-68,10
68000020017,213,178,60,189,131,63,114,13,74,-47,-53,124
68000020018,220,153,100,228,225,246,237,196,133,75,23,83
68000020019,62,61,37,96,125,165,82,317,33,-60,-42,-13
68000020020,74,5,54,8,26,61,80,57,3,-32,-6,29
68000020021,114,65,35,65,75,78,119,42,-64,-78,13,6
68000020022,102,104,224,220,477,635,667,530,796,630,599,710
68000020023,103,193,68,125,109,11,90,-1,61,48,-49,89
68000020024,-42,-71,-1,40,-22,10,-11,0,7,-104,-59,-42
68000020025,-1,-32,-46,121,-26,98,-18,-13,46,-114,-30,68
68000020026,2,-96,-33,-12,-54,-81,-12,0,-24,-76,-79,27
68000020027,148,126,48,145,113,79,189,107,56,48,12,87
68000020028,-10,-22,-31,9,-12,3,-13,9,-8,-50,-9,35
68000020029,-35,-13,-80,50,117,35,37,45,-126,-113,-40,-50
68000020030,10,-102,29,29,-12,9,-39,-20,-47,-52,-26,-25
68000020031,21,-14,-21,49,-25,36,5,-31,0,82,3,5
68000020032,168,220,196,391,467,512,665,960,2172,1248,1313,2222
68000020033,113,43,74,155,169,150,128,135,122,34,89,129
68000020034,76,32,45,143,120,164,59,104,59,-190,-94,131
68000020035,45,-88,2,-4,-30,19,-9,-35,-69,-13,-67,23
68000020036,85,179,78,191,101,27,54,141,13,-48,-1,33
68000020037,24,-45,-34,94,44,40,30,32,-26,-46,-40,72
68000020038,-7,-30,-12,-41,29,-21,15,-22,-50,-71,1,67
68000020039,20,-47,-56,355,106,55,31,-9,-26,-83,-23,-22
68000020040,-43,1,-14,3,6,33,17,-18,-7,-17,31,17
68000020041,-2,41,10,45,63,38,15,37,-53,-148,4,44
68000020042,97,54,35,113,114,262,134,-85,-38,-7,64,161
68000020043,259,443,360,499,808,913,765,593,751,784,286,529
68000020044,46,195,302,252,93,98,92,-50,101,102,17,37
68000020045,-23,-20,73,-22,-1,-23,-6,-45,3,-100,-63,-27
68000020046,103,124,127,155,159,257,256,219,469,398,423,490
68000020047,-4,-16,92,149,157,348,226,223,126,58,7,284
68000020048,37,-2,0,65,-3,48,-26,12,47,22,-6,33
68000020049,-21,-19,10,40,33,73,-2,2,-37,-69,68,52
68000020050,-12,18,38,46,-20,-5,-19,-47,-4,-20,22,8
68000020051,39,14,1,88,33,30,147,79,37,18,-28,29
68000020052,23,-58,15,73,12,47,252,4,-57,-59,-46,-26
68000020053,18,-8,-40,12,-19,23,30,2,4,-50,-36,194
68000020054,-8,-6,8,29,4,15,-167,-9,20,-94,-7,8
68000020055,396,181,116,272,123,61,143,8,-20,-129,-12,52
68000020056,5,119,100,329,189,194,176,281,65,-9,-52,21
68000020057,25,-22,-37,75,147,226,80,-15,44,-28,29,-23
68000020058,11,-44,-4,-14,-8,132,82,23,-46,-17,-34,-2
68000020059,10,-45,-15,12,67,1,3,-21,-47,28,-32,8
68000020060,5,-45,-49,13,124,88,80,45,-80,-160,-38,-14
68000020061,-40,-8,5,16,84,-17,-18,-15,-25,-18,-128,52
68000020062,-49,5,-8,92,67,74,75,68,56,-44,-107,0
68000020063,58,39,71,-7,37,14,30,58,69,-25,-38,92
68000020064,-46,-34,-16,96,108,2,37,-65,32,-119,-45,-47
